,Datetime,Tweet Id,Text
0,2020-07-02 18:57:26,1278764736876773383,"SEC, three letter acronym, middle word is Elon’s"
1,2020-07-02 18:50:12,1278762916326649863,Will send some to the Shortseller Enrichment Commission to comfort them through these difficult times
2,2020-07-02 18:40:47,1278760548188983296,Tesla will make fabulous short shorts in radiant red satin with gold trim
3,2020-07-02 18:24:57,1278756565160468481,Who wears short shorts? 🤣🤣
4,2020-06-28 21:54:51,1277359833721655302,69 days after 4/20 again haha
5,2020-06-26 07:35:57,1276418907968925696,"Who controls the memes,
controls the Universe"
6,2020-06-26 06:03:42,1276395693687500800,Literally
7,2020-06-26 05:57:58,1276394253707440131,Only a matter of time before someone steals a Tesla while playing GTA on a Tesla
8,2020-06-25 02:57:55,1275986553060220929,Special thanks to Tesla trucking &amp; rail partners for figuratively &amp; literally going the extra mile
9,2020-06-25 02:56:12,1275986119872573448,Apologies to Tesla customers for shifting delivery dates. It’s a crazy world out there!
10,2020-06-22 03:11:02,1274902689533444097,Tentative date for Tesla Shareholder Meeting &amp; Battery Day is Sept 15. Will include tour of cell production system.
11,2020-06-22 03:05:26,1274901279475564544,Reminder that Tesla Full Self-Driving (FSD) price goes up by $1k on July 1st
12,2020-06-22 03:04:26,1274901029356593152,Enabling basic Tesla Autopilot via Tesla in-app purchase is reduced to $2k until July 1
13,2020-06-21 08:29:04,1274620338010112000,That is our purpose
14,2020-06-21 08:07:42,1274614961151414273,We must pass The Great Filter
15,2020-06-21 07:03:08,1274598710723280896,Mars is my souldog
16,2020-07-05 06:16:45,1279660468282392576,Beautiful fireworks in LA tonight
17,2020-07-05 02:13:30,1279599254873362434,Side note: Chomsky sucks
18,2020-07-04 17:47:29,1279471909906702336,Please take a moment to report accounts clearly engaged in harassment. It is the only way to maintain public discourse.
19,2020-07-04 17:44:43,1279471212003856384,🇺🇸🇺🇸 Happy 4th of July!! 🇺🇸🇺🇸
