,Datetime,Tweet Id,Text
0,2020-07-03 09:22:27,1278982424500695040,RT @jennycohn1: Link to Audit USA's press release re: the destruction of election records by Florida election officials and the lawsuit it…
1,2020-07-03 09:22:05,1278982333819875328,RT @jennycohn1: Link to Audit USA's press release re: the destruction of election records by Florida election officials and the lawsuit it…
2,2020-07-03 09:16:39,1278980968540495873,"RT @JeffLeePagano: Started a new pod with Nneil Keegan looking ahead to the USA Presidential election.  Do have a listen and even better, s…"
3,2020-07-03 09:11:44,1278979727953461251,Started a new pod with Nneil Keegan looking ahead to the USA Presidential election.  Do have a listen and even bett… https://t.co/MFhynVbBTN
4,2020-07-03 09:06:02,1278978296814768128,GOP’s refusal to take election security measures undermines its fraud claims https://t.co/Bika54ZZgw
5,2020-07-03 08:58:17,1278976345377308672,RT @jennycohn1: Link to Audit USA's press release re: the destruction of election records by Florida election officials and the lawsuit it…
6,2020-07-03 08:57:22,1278976114724143104,"In the USA, a goat has just been elected as mayor of a town.
...
Vermont goat mayor in for a 'dog' fight at her Tow… https://t.co/tobCxDkxY3"
7,2020-07-03 08:57:20,1278976106406739969,RT @realDonaldTrump: Mail-In Ballots will lead to massive electoral fraud and a rigged 2020 Election. Look at all of the cases and examples…
8,2020-07-03 08:57:00,1278976021006626816,"RT @GOPChairwoman: Joe Biden falsely claims @realDonaldTrump’s administration didn’t help small businesses.

The truth: He signed bipartisa…"
9,2020-07-03 08:45:45,1278973189411024899,RT @jennycohn1: Link to Audit USA's press release re: the destruction of election records by Florida election officials and the lawsuit it…
10,2020-07-03 08:44:17,1278972821813760000,RT @jennycohn1: Link to Audit USA's press release re: the destruction of election records by Florida election officials and the lawsuit it…
11,2020-07-03 08:26:46,1278968414887915520,"If Marxists come to power in the USA in the 2020 election, traditional, freedom loving Americans will make the Left… https://t.co/g5BZrt2KzD"
12,2020-07-03 08:23:23,1278967560763916290,RT @jennycohn1: Link to Audit USA's press release re: the destruction of election records by Florida election officials and the lawsuit it…
13,2020-07-03 08:23:00,1278967465683423232,"RT @AmericaElige: USA (Texas), Public Policy Polling poll:

Presidential Election 

Biden (Dems, Centre-left): 52% (+3)
Trump (GOP, Conserv…"
14,2020-07-03 08:09:18,1278964018603085824,RT @jennycohn1: Link to Audit USA's press release re: the destruction of election records by Florida election officials and the lawsuit it…
15,2020-07-03 08:08:50,1278963900822818816,RT @jennycohn1: Link to Audit USA's press release re: the destruction of election records by Florida election officials and the lawsuit it…
16,2020-07-03 07:51:30,1278959538503217152,"Looks like the Great USA 2020 Election Vote robbery is underway.
550K... and counting @MollyJongFast https://t.co/znBjflCDAC"
17,2020-07-03 07:33:20,1278954967852867584,"""U.S. Supreme Court Blocks Alabama Order Easing Voting Restrictions"" by Reuters via NYT https://t.co/F82n0gEv36 #disabilityinthenews"
18,2020-07-03 07:25:11,1278952915441520640,RT @jennycohn1: Link to Audit USA's press release re: the destruction of election records by Florida election officials and the lawsuit it…
19,2020-07-03 07:15:40,1278950519512469505,RT @jennycohn1: Link to Audit USA's press release re: the destruction of election records by Florida election officials and the lawsuit it…
20,2020-07-03 07:10:41,1278949265075814400,RT @realDonaldTrump: Mail-In Ballots will lead to massive electoral fraud and a rigged 2020 Election. Look at all of the cases and examples…
21,2020-07-03 06:48:42,1278943734843846662,RT @jennycohn1: Link to Audit USA's press release re: the destruction of election records by Florida election officials and the lawsuit it…
22,2020-07-03 06:39:32,1278941426735292416,"RT @Muncho_Man_NWO: @971theticketxyt Lets see the math that shows kids being at risk over Covid. Hell, I’d like to see the math that shows…"
